TEMSEID (Not found...)|MANDANT (Queue client)|CREDATE (Queue creation date)|CRETIME (Queue creation time)|GROUPID (Group name: Batch input session name)|QID (Queue identification (unique key))|CREATOR (Queue user ID / for historical reasons)|DESTSYS (Queue target system)|STATUS (Queue status)
BDCLG000717000934507|625|20010712|65226|FELICE1 0651|01071206510007170009|HOF|pswdf025|R
BDCLG000888000554697|800|20011218|154922|RABUCH JA 02|01121815490008880005|OLBERT|pswdf025|R
BDCLG000888002627350|800|20011218|162811|RABUCH11F100|01121816280008880026|OLBERT|pswdf025|R
BDCLG002712606368007|800|20090422|182422|IT2011|09042218200027126063|WEISSANJA|id3tdc00|R
BDCLG008232401962649|800|20111114|232317|C51636232300|11111423230082324019|C5163677|id3tdc00|R
BDCLG008964773730377|800|20111115|41343|C51636041301|11111504130089647737|C5163677|id3tdc00|R
BDCLG010184000679568|800|20020111|150611|JOSWIGT|02011115060101840006|JOSWIGT|pswdf025|R
BDCLG010932000157578|800|20020109|181235|A/P_ACCOUNTS|02010918120109320001|JOSWIGT|pswdf025|R
BDCLG012712606131475|800|20090422|151315|IT2011|09042215130127126061|WEISSANJA|id3tdc00|R
BDCLG014104556333133|800|20071016|110122|RPTQTA00|07101611010141045563|BONIN|id3tdc00|R
BDCLG014664000147068|800|20040319|100428|BUCHHALT01|04031909570146640001|WALTHERK|iwdf9431|R
BDCLG016052441129645|800|20110909|135731|RPTSHF00|11090913550160524411|WEISSANJA|id3tdc00|R
BDCLG016768858570819|800|20080407|113220|I046155|08040711320167688585|I046155|id3tdc00|R
BDCLG016768858676315|800|20080407|125818|I046155|08040712580167688586|I046155|id3tdc00|R
BDCLG017984306569424|800|20120202|42910|PFRTCTRS3|12020204290179843065|C5165216|id3tdc00|R
BDCLG018084000311610|800|20021108|195257|ZPCR3|02110819510180840003|MICHALSKY|iwdfim01|R
BDCLG018196937596461|800|20111114|205425|C51154205401|11111420540181969375|C5115457|id3tdc00|R
BDCLG018196938069204|800|20111115|21223|C51636021001|11111502100181969380|C5163677|id3tdc00|R
BDCLG020162000168648|800|20020412|160618|BONIN|02041216060201620001|BONIN|pswdf025|R
BDCLG020184000813476|800|20020111|152918|JOSWIGT|02011115290201840008|JOSWIGT|pswdf025|R
BDCLG020216070160361|800|20000426|90310|RABUCH1099|20000426090202160701|KUERSTEN|pswdf025|R
BDCLG024064000346952|800|20021105|72333|C5032917|02110507230240640003|C5032917|iwdfim01|R
BDCLG024652307762565|800|20091201|143445|RPTSHF00|09120114340246523077|WEISSANJA|id3tdc00|R
BDCLG025268765759413|800|20111114|231425|C51636231402|11111423140252687657|C5163677|id3tdc00|R
BDCLG026084080418427|800|20090115|161325|RPTQTA00|09011515180260840804|WEISSANJA|id3tdc00|R
BDCLG029524000242969|800|20050111|110859|FR BUK|05011110590295240002|WALTHERK|iwdf9431|R
BDCLG030570000365961|800|20020315|205851|A/P_ACCOUNTS|02031520560305700003|PITTEN|pswdf025|W
BDCLG030570000381516|800|20020315|211830|A/P_ACCOUNTS|02031520560305700003|PITTEN|pswdf025|R
BDCLG030892185975744|625|20050413|101328|GNP 1013|05041310130308921859|HOF|iwdf9431|R
BDCLG032004469762527|625|20050613|170656|AWS-00 1706|05061317060320044697|HOF|iwdf9431|R
BDCLG032106851208672|800|20010105|110338|RABUCH|20010105110321068512|OLBERT|pswdf025|R
BDCLG037924548884083|800|20111019|65651|IT0015|11101906560379245488|C5140081|id3tdc00|R
BDCLG040570000284595|800|20020315|210559|A/P_ACCOUNTS|02031520520405700002|PITTEN|pswdf025|R
BDCLG040570000286758|800|20020315|205620|A/P_ACCOUNTS|02031520520405700002|PITTEN|pswdf025|W
BDCLG040848921673773|800|20111107|233514|KDS1001B007|11110723350408489216|C5115457|id3tdc00|R
BDCLG040888000101516|800|20011218|141645|RABUCH10/01|01121814160408880001|OLBERT|pswdf025|R
BDCLG041172000126889|800|20020722|122841|JOSWIGT|02072212280411720001|JOSWIGT|pswdf025|R
BDCLG041812641787443|800|20080919|160328|PA712006|08091916030418126417|BONIN|id3tdc00|R
BDCLG043676097216598|800|20060110|134120|7500WE/RE05|06011013410436760972|ZECHA|id3tdc00|R
BDCLG044060787758867|800|20050511|145955|PA_0000|05051114590440607877|I026275|iwdf9431|R
BDCLG044060787770728|800|20050511|150531|PA_0000|05051114590440607877|I026275|iwdf9431|R
BDCLG044060787772791|800|20050511|152040|PA_0000|05051114590440607877|I026275|iwdf9431|R
BDCLG044060787791358|800|20050511|152204|PA_0000|05051114590440607877|I026275|iwdf9431|R
BDCLG044507580132916|400|20001004|160554|BI-00-EXT|20001004160445075801|KLINGELS|pswdf025|R
BDCLG044522000249610|513|20020502|40041|GCERTS|02050204000445220002|BEWLEYL|pswdf025|R
BDCLG045544313722168|800|20091201|143602|RPTSHF00|09120114350455443137|WEISSANJA|id3tdc00|R
BDCLG045544313757168|800|20091201|143714|RPTSHF00|09120114350455443137|WEISSANJA|id3tdc00|R
BDCLG047476041190603|800|20100709|70114|IT8|10070907010474760411|C5140081|id3tdc00|R
