NAME (Not found...)|OPSYSTEM (Operating System of Application Server)|SAPCOMMAND (Type of a logical command ( 'X' means provided by SAP))|CHANGEDATE (System Date)|CHANGETIME (System Time)|OPCOMMAND (Name of external program (possibly with access path))|PARAMETERS (Parameters of external program (string))|ADDPAR (Additional parameters allowed in logical command)|TRACEON (automatic trace for logical commands)|CREATEDBY (User Name)|CREATEDATE (System Date)|CREATETIME (System Time)|CHANGEDBY (User Name)|CHECKCALL (Function module to check a logical command)|MODIFICATI (Type of modification on a logical command)
ARCAUTO|ANYOS|X|19951215|204838|arcauto||X||WOLFH|19950807|111218|DDIC||C
ARCAUTO|ANYOS|X|19960306|160218|arcauto||X||WOLFH|19950807|111218|WOLFH||U
BRARCHIVE|ANYOS|X|19951215|204839|brarchive||X||WOLFH|19950802|182354|DDIC||C
BRARCHIVE|ANYOS|X|19960306|160218|brarchive||X||WOLFH|19950802|182354|WOLFH||U
BRBACKUP|ANYOS|X|19951215|204840|brbackup||X||WOLFH|19950802|182404|DDIC||C
BRBACKUP|ANYOS|X|19960306|160218|brbackup||X||WOLFH|19950802|182404|WOLFH||U
INFARCEXE|ANYOS|X|19951215|204840|infarcexe||X||WOLFH|19950807|111310|DDIC||C
INFARCEXE|ANYOS|X|19960306|160218|infarcexe||X||WOLFH|19950807|111310|WOLFH||U
INFUPDSTAT|ANYOS|X|19951215|204840|infupdstat||X||WOLFH|19950807|111400|DDIC||C
INFUPDSTAT|ANYOS|X|19960306|160218|infupdstat||X||WOLFH|19950807|111400|WOLFH||U
SAPDBA|ANYOS|X|19951215|204840|sapdba||X||WOLFH|19950802|182413|DDIC||C
SAPDBA|ANYOS|X|19960306|160218|sapdba||X||WOLFH|19950802|182413|WOLFH||U
UPDCOL|ANYOS|X|19951215|204840|updcol||X||WOLFH|19951101|175109|DDIC||C
UPDCOL|ANYOS|X|19960306|160218|updcol||X|X|WILL|19951102|103227|WILL||U
XBACKUP|ANYOS|X|19951215|204840|xbackup||X||WOLFH|19951005|154544|DDIC||C
ZCAT|Windows NT||20000609|30803|cmd|/C type|X||WESTERMANNA|20000609|30803|WESTERMANNA||C
ZDIR|Windows NT||20000609|30655|cmd|/C dir|X||WESTERMANNA|20000609|30655|WESTERMANNA||C
